CustomerID,SimilarCustomerID,Score
C0001,C0069,0.896478034588339
C0001,C0127,0.827859552360301
C0001,C0154,0.790069343104336
C0002,C0144,0.9750346731558118
C0002,C0062,0.9620780403186753
C0002,C0025,0.9611083659414795
C0003,C0134,0.9258494424438118
C0003,C0038,0.9160140866806957
C0003,C0189,0.908595872498949
C0004,C0075,0.9788714396899141
C0004,C0113,0.9750642089989349
C0004,C0041,0.9731838569734255
C0005,C0140,0.9705879947394064
C0005,C0020,0.9221477752622627
C0005,C0130,0.9157369874965198
C0006,C0187,0.9303510846691581
C0006,C0079,0.9166639277597582
C0006,C0139,0.9134577076735555
C0007,C0146,0.9735671539325448
C0007,C0085,0.9449945505454749
C0007,C0127,0.9187810095311673
C0008,C0113,0.9805519730441882
C0008,C0039,0.9702560124313852
C0008,C0162,0.9594064270658504
C0009,C0150,0.9808298209981038
C0009,C0198,0.9270886838332051
C0009,C0061,0.9267244835236471
C0010,C0176,0.9791073593778005
C0010,C0111,0.9164121080425977
C0010,C0077,0.9162716718871483
C0011,C0126,0.9239126496508836
C0011,C0070,0.8733873032441847
C0011,C0064,0.8596185062506118
C0012,C0182,0.964035280503343
C0012,C0163,0.9584915588488587
C0012,C0065,0.9478731754016081
C0013,C0188,0.9665744277880705
C0013,C0099,0.95279565838171
C0013,C0114,0.9490943629695944
C0014,C0097,0.9983539075835826
C0014,C0119,0.9525988895545169
C0014,C0095,0.9509453229360584
C0015,C0080,0.9642479961126927
C0015,C0131,0.9596017313669745
C0015,C0128,0.9262911570451309
C0016,C0040,0.9774183767776105
C0016,C0066,0.9759345651476093
C0016,C0044,0.966001659137206
C0017,C0113,0.9855436749336915
C0017,C0004,0.9711371157098928
C0017,C0075,0.9660148791175583
C0018,C0057,0.9526107013745019
C0018,C0017,0.9391448385304519
C0018,C0004,0.9325545102780087
C0019,C0027,0.9176109202520308
C0019,C0174,0.8762070366943786
C0019,C0112,0.8506038812239795
C0020,C0130,0.9976782077607544
C0020,C0186,0.9435361644088648
C0020,C0005,0.9221477752622627
